version,wl,a0,T_coeff,S_coeff,a0_err,T_err,S_err,a0_raw,S_coeff_raw
2,3378,76747.1248031336,-72.33873894,-468.923809,4618.244555,0.203523,1,76650.25871,-468.889215
2,3380,75647.1812506183,-71.37744418,-461.164531625,4340.492613,0.203523,1,75620.35843,-461.012123
2,3382,74636.0064271584,-70.45627868,-453.516169,3973.061692,0.203523,1,74676.56068,-453.516169
2,3384,73692.6944577047,-69.42626955,-445.76909571875,3574.55729,0.203523,1,73776.42703,-445.792131
2,3386,72793.2867086341,-68.31955109,-437.84212525,3271.083181,0.203523,1,72827.33843,-437.899973
2,3388,71874.3229785002,-67.20435444,-429.87664365625,2963.771515,0.203523,1,71900.28627,-429.898969
2,3390,70963.4619642141,-66.18031712,-422.014037,2634.112276,0.203523,1,71007.93199,-422.014037
2,3392,70011.1954445573,-65.31515463,-414.297173444445,2455.542925,0.203523,1,70026.96742,-414.370888
2,3394,69053.3589531682,-64.46151806,-406.745989555556,2275.260892,0.203523,1,69064.85241,-406.692191
2,3396,68088.8860571317,-63.3938579,-399.467474,2147.98688,0.203523,1,68081.12882,-399.467474
2,3398,67107.8045304695,-62.31786727,-392.403019625,2023.480803,0.203523,1,67109.817,-392.479154
2,3400,66124.3332784946,-61.22760437,-385.53541075,1904.053147,0.203523,1,66155.36889,-385.416548
2,3402,65142.8625216664,-60.33995241,-379.03372325,1921.690828,0.203523,1,65121.11334,-379.00554
2,3404,64164.7611470152,-59.50497159,-373.067033,1890.537497,0.203523,1,64138.81188,-373.067033
2,3406,63195.9732886562,-58.59099749,-367.772288333334,1821.716114,0.203523,1,63198.14782,-367.719874
2,3408,62230.6257918742,-57.57421711,-363.103517666667,1780.404521,0.203523,1,62250.48157,-363.098394
2,3410,61281.6809873021,-56.63845608,-358.955417,1786.827273,0.203523,1,61280.84132,-358.955417
2,3412,60347.4052240255,-55.84236153,-355.24776409375,1768.608658,0.203523,1,60344.26184,-355.25266
2,3414,59427.9432479286,-55.06540624,-351.838871,1768.198159,0.203523,1,59413.66855,-351.787541
2,3416,58525.6548129505,-54.10302925,-348.53123515625,1737.63209,0.203523,1,58521.19143,-348.578401
2,3418,57640.3124729784,-53.14810648,-345.127354,1701.705408,0.203523,1,57650.28743,-345.127354
2,3420,56776.2252929058,-52.40037225,-341.53153625926,1710.023792,0.203523,1,56766.16942,-341.542725
2,3422,55930.4078871899,-51.68776601,-337.767360074074,1672.350873,0.203523,1,55935.28064,-337.744914
2,3424,55103.8177059288,-50.91932569,-333.816227,1670.632724,0.203523,1,55095.06573,-333.816227
2,3426,54299.604397041,-50.11850284,-329.5216451875,1607.39081,0.203523,1,54315.09694,-329.643292
2,3428,53512.9459517575,-49.42184807,-324.78485325,1619.382191,0.203523,1,53499.40946,-324.950858
2,3430,52744.9908691793,-48.82725781,-319.6738484375,1605.57961,0.203523,1,52719.67987,-319.674054
2,3432,51992.0984287627,-48.19561046,-314.256628,1540.651598,0.203523,1,51993.40519,-314.256628
2,3434,51250.4672744917,-47.50544613,-308.5520114375,1476.854824,0.203523,1,51282.21073,-308.578729
2,3436,50521.7983163568,-46.92174643,-302.60952625,1487.130317,0.203523,1,50533.55993,-302.66995
2,3438,49801.3387011003,-46.35798217,-296.5432316875,1502.424046,0.203523,1,49797.70757,-296.525959
2,3440,49093.3113748721,-45.68700873,-290.467187,1490.831439,0.203523,1,49091.17702,-290.467187
2,3442,48396.665003935,-44.98310407,-284.518840375,1484.458645,0.203523,1,48391.57987,-284.440159
2,3444,47712.6593083889,-44.37589999,-278.8144415,1477.564211,0.203523,1,47706.04567,-278.721574
2,3446,47046.6000069532,-43.82926336,-273.436251875,1467.98238,0.203523,1,47031.35363,-273.436531
2,3448,46393.2959249114,-43.24051589,-268.466533,1416.055905,0.203523,1,46394.30273,-268.466533
