wv,Brown,Green,Crypt,CyanB,CyanR,Cocco,PhyC1
340,0.0268508977805966,0.0200116052737861,0.0213342196514515,0.0287347485083255,0.0301346835659917,0.0668469060836631,0.0359402896745852
341,0.0268508981579673,0.0200116054534239,0.0213342198874938,0.0287347489791072,0.0301346840587979,0.0668469060836631,0.0359548735644298
342,0.0268508986787937,0.0200116057013502,0.0213342202132686,0.0287347496288577,0.030134684738942,0.0668469060836631,0.0359722867824878
343,0.0268508993976095,0.0200116060435245,0.0213342206628884,0.0287347505256127,0.0301346856776396,0.0663409034431057,0.0359930782288279
344,0.0268509003896797,0.0200116065157745,0.0213342212834333,0.0287347517632713,0.0301346869731786,0.0658349008025483,0.036017903292149
345,0.0268509017588806,0.0200116071675481,0.0213342221398814,0.0287347534714292,0.0301346887612103,0.0653288981619909,0.0360475445089654
346,0.0268509036485763,0.0200116080670901,0.0213342233219123,0.0287347558289477,0.0301346912289535,0.064883397451345,0.0360829362307506
347,0.0268509062566306,0.0200116093085885,0.0213342249532979,0.028734759082683,0.0301346946347973,0.0645634565407249,0.0361251940765968
348,0.0268509098561239,0.0200116110220363,0.0213342272048627,0.0287347635733343,0.0301346993353561,0.0642435156301047,0.036175650099799
349,0.0268509148239467,0.0200116133868427,0.0213342303123708,0.0287347697711185,0.0301347058228092,0.0639235747194846,0.0362358947768856
350,0.026850921680263,0.0200116166506184,0.021334234601213,0.0287347783250065,0.0301347147764361,0.0636036338088644,0.0363078271426752
351,0.0268509311429742,0.0200116211551021,0.0213342405204792,0.0287347901306775,0.0301347271337406,0.0632836928982443,0.0363937146517186
352,0.0268509442028883,0.0200116273719428,0.0213342486899831,0.0287348064243051,0.030134744188614,0.0629637519876242,0.0364962646530803
353,0.0268509622274645,0.0200116359520843,0.0213342599651634,0.0287348289119979,0.0301347677268144,0.0626438110770041,0.0366187097314907
354,0.0268509871039945,0.0200116477939237,0.0213342755266579,0.0287348599484459,0.0301348002129468,0.0623666490671595,0.0368969872808632
355,0.0268510214372147,0.020011664137379,0.0213342970039296,0.0287349027834808,0.030134845048524,0.0621704320676199,0.0371399533843402
356,0.0268510688220395,0.0200116866937171,0.0213343266458898,0.0287349619023662,0.0301349069281271,0.0619742150680803,0.0373829194878173
357,0.026851134219972,0.0200117178247343,0.0213343675563843,0.0287350434954505,0.0301349923309594,0.061697914060327,0.037616796525355
358,0.0268512244786062,0.0200117607900518,0.0213344240192008,0.0287351561063592,0.0301351101992619,0.061498304440743,0.0378506735628927
359,0.0268513490486155,0.0200118200884197,0.0213345019466295,0.0287353115265994,0.0301352728746245,0.0613206139244538,0.0380762596551058
360,0.0268515209733001,0.0200119019287654,0.0213346094985464,0.0287355260302503,0.0301354973902326,0.0611645876300979,0.038301845747319
361,0.0268517582543063,0.0200120148803089,0.0213347579368438,0.0287358220780251,0.0301358072543538,0.0610343747057308,0.038518714898087
362,0.0268520857365179,0.0200121707698163,0.0213349628046764,0.0287362306691358,0.0301362349118091,0.0609327152535372,0.0387355840488549
363,0.0268525377094786,0.0200123859199398,0.0213352455540046,0.0287367945872257,0.0301368251411597,0.0608558697982137,0.0389433102620572
364,0.0268531614977332,0.0200126828583059,0.0213356357918549,0.0287375728802524,0.0301376397433186,0.0608053124603704,0.0391510364752594
365,0.0268540224160192,0.0200130926763057,0.0213361743805077,0.0287386470434085,0.0301387640125142,0.0607827098944866,0.039337847664022
366,0.0268552106081496,0.0200136582845671,0.0213369177162369,0.0287401295524977,0.0301403156671598,0.0607898131524608,0.0395246588527846
367,0.0268568504856638,0.0200144389059781,0.0213379436346319,0.0287421756412943,0.0301424571757494,0.0608260676697124,0.0396898511126951
368,0.0268591137545346,0.0200155162767115,0.0213393595608571,0.0287449995560979,0.030145412768382,0.0608953609292484,0.0398550433726056
