SampleID,wavelen,value
I020105,250,32.4621559807755
I020105,252,31.5753527602197
I020105,254,30.7186352394881
I020105,256,29.8964638472133
I020105,258,29.1127529089515
I020105,260,28.3687056951671
I020105,262,27.6566413640514
I020105,264,26.9674449677757
I020105,266,26.2928333799221
I020105,268,25.6242993580539
I020105,270,24.9502845980634
I020105,272,24.2595529657095
I020105,274,23.5422930011557
I020105,276,22.7918095216671
I020105,278,22.0090035932451
I020105,280,21.1968557736389
I020105,282,20.358696011924
I020105,284,19.500588555048
I020105,286,18.6376813968472
I020105,288,17.7853920608155
I020105,290,16.9567802312702
I020105,292,16.1617976132101
I020105,294,15.4052222216948
I020105,296,14.6899714400471
I020105,298,14.0181681666554
I020105,300,13.3903494241146
I020105,302,12.8031633858511
I020105,304,12.252709910955
I020105,306,11.7354907302246
I020105,308,11.2483089369788
I020105,310,10.7880828670445
I020105,312,10.3520040375809
I020105,314,9.93756029788293
I020105,316,9.5425044307977
I020105,318,9.16517129678942
I020105,320,8.80537861910113
I020105,322,8.46320059203143
I020105,324,8.13861125064778
I020105,326,7.83117812539342
I020105,328,7.53920655136111
I020105,330,7.26087023318511
I020105,332,6.99453672088415
I020105,334,6.73860161771144
I020105,336,6.4910754347682
I020105,338,6.25008071542109
I020105,340,6.01399052590027
I020105,342,5.78176830340975
I020105,344,5.55390823055554
I020105,346,5.33117164061985
I020105,348,5.11420885615025
I020105,350,4.90390435072757
I020105,352,4.70228856291877
I020105,354,4.5113483680475
I020105,356,4.33270681229244
I020105,358,4.16719715514409
I020105,360,4.01361963427567
I020105,362,3.87044872415142
I020105,364,3.73632707994528
I020105,366,3.60981625246431
I020105,368,3.48875708050069
I020105,370,3.37103477851901
I020105,372,3.25479801987885
I020105,374,3.13895522849972
I020105,376,3.0245481816155
I020105,378,2.91296160519802
I020105,380,2.80538480211686
I020105,382,2.7028261075323
I020105,384,2.60598463951361
I020105,386,2.51487217954251
I020105,388,2.4293387305062
I020105,390,2.34923302669398
I020105,392,2.27422400501028
I020105,394,2.20330521941893
I020105,396,2.13540872173726
I020105,398,2.06958338322716
I020105,400,2.00508235666723
I020105,402,1.94162481996099
I020105,404,1.87905646041179
I020105,406,1.8172444951279
I020105,408,1.75614717810733
I020105,410,1.69600471670455
I020105,412,1.6370945991655
I020105,414,1.57965791332607
I020105,416,1.52388422952769
I020105,418,1.46986743391961
I020105,420,1.41766743835481
I020105,422,1.36732987048469
I020105,424,1.31888553119362
I020105,426,1.27234663971106
I020105,428,1.22771452639236
I020105,430,1.18498269713798
I020105,432,1.14411285162438
I020105,434,1.10496767829969
I020105,436,1.0673977077459
I020105,438,1.03126686282923
I020105,440,0.996451330432556
I020105,442,0.962826802838422
I020105,444,0.930235493000683
I020105,446,0.898525884220874
I020105,448,0.867564013501456
I020105,450,0.837250947189069
I020105,452,0.807572299355448
I020105,454,0.778532823950442
I020105,456,0.750136485403925
I020105,458,0.722403887227935
I020105,460,0.695419333973557
I020105,462,0.669269914699256
I020105,464,0.644027859644083
I020105,466,0.619738398859363
I020105,468,0.596384967466272
I020105,470,0.57393706029834
I020105,472,0.552364699460331
I020105,474,0.531657995947861
I020105,476,0.511879935093539
I020105,478,0.493098491150687
I020105,480,0.475367559589177
I020105,482,0.45870956894871
I020105,484,0.443064499649883
I020105,486,0.428358223651667
I020105,488,0.414522750927316
I020105,490,0.401488380050297
I020105,492,0.389163143273622
I020105,494,0.37745695994499
I020105,496,0.366288332911486
I020105,498,0.355584474155558
I020105,500,0.345283378532503
I020105,502,0.335329760112233
I020105,504,0.325673508543009
I020105,506,0.316269303437379
I020105,508,0.307084345031899
I020105,510,0.298120356260832
I020105,512,0.28938604579694
I020105,514,0.280888668093561
I020105,516,0.272632448893464
I020105,518,0.264614057074774
I020105,520,0.256828373639235
I020105,522,0.249270277561869
I020105,524,0.241934459477518
I020105,526,0.23481489077953
I020105,528,0.227905491738735
I020105,530,0.221200335514266
I020105,532,0.214693548846575
I020105,534,0.208379042700314
I020105,536,0.202250835871104
I020105,538,0.196303149506976
I020105,540,0.19053043993465
I020105,542,0.184927502889648
I020105,544,0.17948933010076
I020105,546,0.174211061929375
I020105,548,0.169087985591889
I020105,550,0.164115538232531
I020105,552,0.159289293684584
I020105,554,0.15460495571049
I020105,556,0.150058354779202
I020105,558,0.14564544598897
I020105,560,0.141362303493074
I020105,562,0.137205116423439
I020105,564,0.133170184736959
I020105,566,0.129253913748314
I020105,568,0.1254528136765
I020105,570,0.121763497382664
I020105,572,0.11818267735081
I020105,574,0.114707162751639
I020105,576,0.111333856582556
I020105,578,0.108059752926393
I020105,580,0.104881934277809
I020105,582,0.101797568958159
I020105,584,0.0988039086345458
I020105,586,0.0958982858167076
I020105,588,0.0930781114632499
I020105,590,0.0903408726817957
I020105,592,0.0876841305100006
I020105,594,0.0851055177170901
I020105,596,0.0826027366868419
I020105,598,0.0801735573694402
I020105,600,0.0778158152918127
I020105,602,0.0755274096323899
I020105,604,0.0733063013502621
I020105,606,0.0711505113679815
I020105,608,0.0690581188071467
I020105,610,0.0670272592781025
I020105,612,0.0650561232191001
I020105,614,0.0631429542838399
I020105,616,0.0612860477762875
I020105,618,0.059483749132011
I020105,620,0.0577344524439928
I020105,622,0.0560365990317454
I020105,624,0.0543886760525627
I020105,626,0.0527892151534174
I020105,628,0.0512367911625758
I020105,630,0.0497300208197235
I020105,632,0.048267561543441
I020105,634,0.0468481102349361
I020105,636,0.0454704021169197
I020105,638,0.0441332096066431
I020105,640,0.0428353412220799
I020105,642,0.0415756405202749
