wv,Brown,Green,Crypt,CyanB,CyanR,Cocco,PhyC1
340,0.226869089706383,0.202316639001023,0.172832447015215,0.204265251491675,0.202865316434008,0.734973309318259,0.214733497809299
341,0.226774416818347,0.202316638821385,0.172832446779173,0.204265251020893,0.202865315941202,0.733471509901454,0.214164977298541
342,0.226679743786856,0.202316638573459,0.172832446453398,0.204265250371142,0.202865315261058,0.731976600943218,0.213595962511758
343,0.226585664766777,0.202316638231285,0.172832446003778,0.204265249474387,0.20286531432236,0.730994576465455,0.213025909932076
344,0.226491585473444,0.202316637759035,0.172832445383233,0.204265248236729,0.202865313026821,0.730019399795115,0.212454169553989
345,0.226398100995656,0.202316637107261,0.172832444526785,0.204265246528571,0.20286531123879,0.72905104996157,0.211879964224177
346,0.226304615997374,0.202316636207719,0.172832443344754,0.204265244171052,0.202865308771047,0.728029064907474,0.21130236497436
347,0.226211722941211,0.202316634966221,0.172832441713369,0.204265240917317,0.202865305365203,0.726888384092859,0.21072026156864
348,0.226118828893609,0.202316633252773,0.172832439461804,0.204265236426666,0.202865300664644,0.725754482533494,0.210132327336916
349,0.226026522132332,0.202316630887967,0.172832436354296,0.204265230228882,0.202865294177191,0.724627548034991,0.209536977185853
350,0.225934213482562,0.202316627624191,0.172832432065454,0.204265221674993,0.202865285223564,0.723507573210453,0.208932317463826
351,0.225842502586717,0.202316623119707,0.172832426146187,0.204265209869323,0.202865272866259,0.722394180486863,0.208316086099479
352,0.22575078809367,0.202316616902866,0.172832417976684,0.204265193575695,0.202865255811386,0.721287528966411,0.207685577736564
353,0.225659665690967,0.202316608322725,0.172832406701503,0.204265171088002,0.202865232273186,0.720187716628434,0.207037551523936
354,0.225568536436309,0.202316596480885,0.172832391140009,0.204265140051554,0.202865199787053,0.719051495314856,0.206236060062023
355,0.225477968257672,0.20231658013743,0.172832369662737,0.204265097216519,0.202865154951476,0.717840852172419,0.205472237262025
356,0.22538738702743,0.202316557581092,0.172832340020777,0.204265038097634,0.202865093071873,0.716636894971559,0.204710761672388
357,0.225297362352576,0.202316526450075,0.172832299110282,0.20426495650455,0.202865007669041,0.715519252718982,0.203960712353394
358,0.225207312817021,0.202316483484757,0.172832242647466,0.204264843893641,0.202864889800738,0.714331298676499,0.203212990233445
359,0.225117805528694,0.202316424186389,0.172832164720037,0.204264688473401,0.202864727125376,0.713127962925995,0.202475876252209
360,0.225028250885691,0.202316342346044,0.17283205716812,0.20426447396975,0.202864502609767,0.711909059055543,0.201741069458702
361,0.224939177854157,0.2023162293945,0.172831908729823,0.204264177921975,0.202864192745646,0.710670582151639,0.201017276788712
362,0.224850014621417,0.202316073504993,0.17283170386199,0.204263769330864,0.202863765088191,0.709409945137324,0.200295771295136
363,0.224761278051637,0.202315858354869,0.172831421112662,0.204263205412774,0.20286317485884,0.708130459380617,0.199585685909882
364,0.224672369666564,0.202315561416503,0.172831030874812,0.204262427119748,0.202862360256681,0.706830790738271,0.19887801775539
365,0.22458378048825,0.202315151598503,0.172830492286159,0.204261352956592,0.202861235987486,0.70550942099169,0.198193798003718
366,0.224494864036091,0.202314585990242,0.17282974895043,0.204259870447502,0.20285968433284,0.704164183669474,0.197512065756185
367,0.224406024140266,0.202313805368831,0.172828723032035,0.204257824358706,0.202857542824251,0.702795769215273,0.196854394067401
368,0.224316560853085,0.202312727998098,0.17282730710581,0.204255000443902,0.202854587231618,0.701400434166655,0.196199118134272
369,0.224226769420767,0.202311241070272,0.172825352908395,0.204251103010501,0.202850508084865,0.699973100059358,0.195551634733838
