wv,Brown,Green,Crypt,CyanB,CyanR,Cocco,PhyC1
340,0.25371998748698,0.222328244274809,0.194166666666667,0.233,0.233,0.801820215401922,0.250673787483885
341,0.253625314976315,0.222328244274809,0.194166666666667,0.233,0.233,0.800318415985117,0.250119850862971
342,0.253530642465649,0.222328244274809,0.194166666666667,0.233,0.233,0.798823507026881,0.249568249294246
343,0.253436564164387,0.222328244274809,0.194166666666667,0.233,0.233,0.797335479908561,0.249018988160904
344,0.253342485863124,0.222328244274809,0.194166666666667,0.233,0.233,0.795854300597664,0.248472072846138
345,0.253249002754537,0.222328244274809,0.194166666666667,0.233,0.233,0.794379948123561,0.247927508733142
346,0.25315551964595,0.222328244274809,0.194166666666667,0.233,0.233,0.792912462358819,0.247385301205111
347,0.253062629197842,0.222328244274809,0.194166666666667,0.233,0.233,0.791451840633584,0.246845455645237
348,0.252969738749733,0.222328244274809,0.194166666666667,0.233,0.233,0.789997998163599,0.246307977436715
349,0.252877436956279,0.222328244274809,0.194166666666667,0.233,0.233,0.788551122754475,0.245772871962739
350,0.252785135162825,0.222328244274809,0.194166666666667,0.233,0.233,0.787111207019318,0.245240144606501
351,0.252693433729692,0.222328244274809,0.194166666666667,0.233,0.233,0.785677873385108,0.244709800751197
352,0.252601732296559,0.222328244274809,0.194166666666667,0.233,0.233,0.784251280954035,0.244181842389644
353,0.252510627918431,0.222328244274809,0.194166666666667,0.233,0.233,0.782831527705438,0.243656261255427
354,0.252419523540304,0.222328244274809,0.194166666666667,0.233,0.233,0.781418144382015,0.243133047342886
355,0.252328989694887,0.222328244274809,0.194166666666667,0.233,0.233,0.780011284240039,0.242612190646365
356,0.252238455849469,0.222328244274809,0.194166666666667,0.233,0.233,0.77861111003964,0.242093681160205
357,0.252148496572548,0.222328244274809,0.194166666666667,0.233,0.233,0.777217166779309,0.241577508878749
358,0.252058537295627,0.222328244274809,0.194166666666667,0.233,0.233,0.775829603117242,0.241063663796338
359,0.251969154577309,0.222328244274809,0.194166666666667,0.233,0.233,0.774448576850449,0.240552135907315
360,0.251879771858991,0.222328244274809,0.194166666666667,0.233,0.233,0.77307364668564,0.240042915206021
361,0.251790936108463,0.222328244274809,0.194166666666667,0.233,0.233,0.77170495685737,0.239535991686799
362,0.251702100357935,0.222328244274809,0.194166666666667,0.233,0.233,0.770342660390861,0.239031355343991
363,0.251613815761116,0.222328244274809,0.194166666666667,0.233,0.233,0.768986329178831,0.238528996171939
364,0.251525531164297,0.222328244274809,0.194166666666667,0.233,0.233,0.767636103198642,0.23802905423065
365,0.251437802904269,0.222328244274809,0.194166666666667,0.233,0.233,0.766292130886177,0.23753164566774
366,0.251350074644241,0.222328244274809,0.194166666666667,0.233,0.233,0.764953996821934,0.237036724608969
367,0.25126287462593,0.222328244274809,0.194166666666667,0.233,0.233,0.763621836884985,0.236544245180096
368,0.251175674607619,0.222328244274809,0.194166666666667,0.233,0.233,0.762295795095904,0.236054161506877
369,0.251089006814681,0.222328244274809,0.194166666666667,0.233,0.233,0.760975468247444,0.235566427715073
370,0.251002339021744,0.222328244274809,0.194166666666667,0.233,0.233,0.759662557183788,0.235080997930442
371,0.250916208369525,0.222328244274809,0.194166666666667,0.233,0.233,0.758356725711657,0.234597826278741
372,0.250830077717306,0.222328244274809,0.194166666666667,0.233,0.233,0.757054515067615,0.23411686688573
373,0.250744457508271,0.222328244274809,0.194166666666667,0.233,0.233,0.755730449199266,0.233638073877167
374,0.250658837299235,0.222328244274809,0.194166666666667,0.233,0.233,0.754394248116927,0.23316140137881
375,0.25057373132746,0.222328244274809,0.194166666666667,0.233,0.233,0.753095247151241,0.232686803516419
376,0.250488625355685,0.222328244274809,0.194166666666667,0.233,0.233,0.751767756960712,0.232214568609954
377,0.250404038286727,0.222328244274809,0.194166666666667,0.233,0.233,0.750412728095712,0.231744953716461
378,0.25031945121777,0.222328244274809,0.194166666666667,0.233,0.233,0.749179455724684,0.231277866067325
379,0.25023535766131,0.222328244274809,0.194166666666667,0.233,0.233,0.748051808815029,0.230813212893929
380,0.250151264104851,0.222328244274809,0.194166666666667,0.233,0.233,0.746963669203013,0.230350901427657
381,0.250067667677105,0.222328244274809,0.194166666666667,0.233,0.233,0.745989351360375,0.229890838899895
382,0.24998407124936,0.222328244274809,0.194166666666667,0.233,0.233,0.745188168058475,0.229432932542025
383,0.24990097638257,0.222328244274809,0.194166666666667,0.233,0.233,0.74450629824784,0.228977089585433
384,0.24981788151578,0.222328244274809,0.194166666666667,0.233,0.233,0.743942084800181,0.228523217261501
385,0.249735264043664,0.222328244274809,0.194166666666667,0.233,0.233,0.743504190433371,0.228071222801616
386,0.249652646571549,0.222328244274809,0.194166666666667,0.233,0.233,0.743053049065789,0.227621013437159
387,0.249570955195157,0.222328244274809,0.194166666666667,0.233,0.233,0.742596954306668,0.227172496399517
388,0.249489263818766,0.222328244274809,0.194166666666667,0.233,0.233,0.74203812262793,0.226718869590603
389,0.249408164799374,0.222328244274809,0.194166666666667,0.233,0.233,0.741405552637089,0.226255297126677
390,0.249327065779983,0.222328244274809,0.194166666666667,0.233,0.233,0.740777977494213,0.225784635560641
391,0.249245361291652,0.222328244274809,0.194166666666667,0.233,0.233,0.740154577123594,0.2253097414454
392,0.249163656803322,0.222328244274809,0.194166666666667,0.233,0.233,0.739535917308533,0.224833471333854
393,0.249078654696791,0.222328244274809,0.194166666666667,0.233,0.233,0.738923361391254,0.224358681778907
394,0.24899365259026,0.222328244274809,0.194166666666667,0.233,0.233,0.738318510358362,0.223888229333461
395,0.248907390573415,0.222328244274809,0.194166666666667,0.233,0.233,0.737795039476204,0.22342497055042
